Cepa	Ant	Vol	Rad
AeR106-3	Neomicina (Nm)	5	13
AeR106-3	Neomicina (Nm)	5	13
AeR106-3	Neomicina (Nm)	2.5	11.5
AeR106-3	Neomicina (Nm)	2.5	12
AeR106-3	Neomicina (Nm)	2.5	12
AeR106-3	Neomicina (Nm)	1.25	10
AeR106-3	Neomicina (Nm)	1.25	10
AeR106-3	Neomicina (Nm)	1.25	9
AeR106-3	Gentamicina (Gm)	10	19.5
AeR106-3	Gentamicina (Gm)	10	18
AeR106-3	Gentamicina (Gm)	10	18
AeR106-3	Gentamicina (Gm)	5	17
AeR106-3	Gentamicina (Gm)	5	16.5
AeR106-3	Gentamicina (Gm)	5	16.5
AeR106-3	Gentamicina (Gm)	2.5	14.5
AeR106-3	Gentamicina (Gm)	2.5	15
AeR106-3	Gentamicina (Gm)	2.5	14.5
AeR106-3	Gentamicina (Gm)	1.25	12
AeR106-3	Gentamicina (Gm)	1.25	11
AeR106-3	Gentamicina (Gm)	1.25	10
AeR106-3	Carbenicilina (Car)	10	23
AeR106-3	Carbenicilina (Car)	10	22
AeR106-3	Carbenicilina (Car)	10	22
AeR106-3	Carbenicilina (Car)	5	17
AeR106-3	Carbenicilina (Car)	5	18
AeR106-3	Carbenicilina (Car)	5	15
AeR106-3	Carbenicilina (Car)	2.5	13
AeR106-3	Carbenicilina (Car)	2.5	13
AeR106-3	Carbenicilina (Car)	2.5	12
AeR106-3	Carbenicilina (Car)	1.25	10
AeR106-3	Carbenicilina (Car)	1.25	11
AeR106-3	Carbenicilina (Car)	1.25	10
AeR106-3	Cloramfenicol (Cm)	10	NA
AeR106-3	Cloramfenicol (Cm)	10	NA
AeR106-3	Cloramfenicol (Cm)	10	NA
AeR106-3	Cloramfenicol (Cm)	5	NA
AeR106-3	Cloramfenicol (Cm)	5	NA
AeR106-3	Cloramfenicol (Cm)	5	NA
AeR106-3	Cloramfenicol (Cm)	2.5	NA
AeR106-3	Cloramfenicol (Cm)	2.5	NA
AeR106-3	Cloramfenicol (Cm)	2.5	NA
AeR106-3	Cloramfenicol (Cm)	1.25	NA
AeR106-3	Cloramfenicol (Cm)	1.25	NA
AeR106-3	Cloramfenicol (Cm)	1.25	NA
AeR96-2	Ampicilina (Amp)	10	NA
AeR96-2	Ampicilina (Amp)	10	NA
AeR96-2	Ampicilina (Amp)	10	NA
AeR96-2	Ampicilina (Amp)	5	NA
AeR96-2	Ampicilina (Amp)	5	NA
AeR96-2	Ampicilina (Amp)	5	NA
AeR96-2	Ampicilina (Amp)	2.5	NA
AeR96-2	Ampicilina (Amp)	2.5	NA
AeR96-2	Ampicilina (Amp)	2.5	NA
AeR96-2	Ampicilina (Amp)	1.25	NA
AeR96-2	Ampicilina (Amp)	1.25	NA
AeR96-2	Ampicilina (Amp)	1.25	NA
AeR96-2	Apramicina (Apra)	10	NA
AeR96-2	Apramicina (Apra)	10	NA
AeR96-2	Apramicina (Apra)	10	NA
AeR96-2	Apramicina (Apra)	5	NA
AeR96-2	Apramicina (Apra)	5	NA
AeR96-2	Apramicina (Apra)	5	NA
AeR96-2	Apramicina (Apra)	2.5	NA
AeR96-2	Apramicina (Apra)	2.5	NA
AeR96-2	Apramicina (Apra)	2.5	NA
AeR96-2	Apramicina (Apra)	1.25	NA
AeR96-2	Apramicina (Apra)	1.25	NA
AeR96-2	Apramicina (Apra)	1.25	NA
AeR96-2	Neomicina (Nm)	10	17.5
AeR96-2	Neomicina (Nm)	10	16
AeR96-2	Neomicina (Nm)	10	16
AeR96-2	Neomicina (Nm)	5	18
AeR96-2	Neomicina (Nm)	5	15
AeR96-2	Neomicina (Nm)	5	15
AeR96-2	Neomicina (Nm)	2.5	15
AeR96-2	Neomicina (Nm)	2.5	15
AeR96-2	Neomicina (Nm)	2.5	15
AeR96-2	Neomicina (Nm)	1.25	12.5
AeR96-2	Neomicina (Nm)	1.25	13
AeR96-2	Neomicina (Nm)	1.25	13
AeR96-2	Gentamicina (Gm)	10	22
AeR96-2	Gentamicina (Gm)	10	23
AeR96-2	Gentamicina (Gm)	10	22.5
AeR96-2	Gentamicina (Gm)	5	18.5
AeR96-2	Gentamicina (Gm)	5	18
AeR96-2	Gentamicina (Gm)	5	19
AeR96-2	Gentamicina (Gm)	2.5	17.5
AeR96-2	Gentamicina (Gm)	2.5	16.5
AeR96-2	Gentamicina (Gm)	2.5	15.5
AeR96-2	Gentamicina (Gm)	1.25	16
AeR96-2	Gentamicina (Gm)	1.25	15.5
AeR96-2	Gentamicina (Gm)	1.25	11.5
AeR96-2	Carbenicilina (Car)	10	21
AeR96-2	Carbenicilina (Car)	10	20
AeR96-2	Carbenicilina (Car)	10	21
AeR96-2	Carbenicilina (Car)	5	17
AeR96-2	Carbenicilina (Car)	5	14
AeR96-2	Carbenicilina (Car)	5	16
AeR96-2	Carbenicilina (Car)	2.5	12
AeR96-2	Carbenicilina (Car)	2.5	12
AeR96-2	Carbenicilina (Car)	2.5	12
AeR96-2	Carbenicilina (Car)	1.25	10
AeR96-2	Carbenicilina (Car)	1.25	8
AeR96-2	Carbenicilina (Car)	1.25	9
AeR96-2	Cloramfenicol (Cm)	10	NA
AeR96-2	Cloramfenicol (Cm)	10	NA
AeR96-2	Cloramfenicol (Cm)	10	NA
AeR96-2	Cloramfenicol (Cm)	5	NA
AeR96-2	Cloramfenicol (Cm)	5	NA
AeR96-2	Cloramfenicol (Cm)	5	NA
AeR96-2	Cloramfenicol (Cm)	2.5	NA
AeR96-2	Cloramfenicol (Cm)	2.5	NA
AeR96-2	Cloramfenicol (Cm)	2.5	NA
AeR96-2	Cloramfenicol (Cm)	1.25	NA
AeR96-2	Cloramfenicol (Cm)	1.25	NA
AeR96-2	Cloramfenicol (Cm)	1.25	NA
AeR97-1	Ampicilina (Amp)	10	12.5
AeR97-1	Ampicilina (Amp)	10	12
AeR97-1	Ampicilina (Amp)	10	14
AeR97-1	Ampicilina (Amp)	5	11
AeR97-1	Ampicilina (Amp)	5	10.5
AeR97-1	Ampicilina (Amp)	5	11
AeR97-1	Ampicilina (Amp)	2.5	9.5
AeR97-1	Ampicilina (Amp)	2.5	8.5
AeR97-1	Ampicilina (Amp)	2.5	9.5
AeR97-1	Ampicilina (Amp)	1.25	8
AeR97-1	Ampicilina (Amp)	1.25	7.5
AeR97-1	Ampicilina (Amp)	1.25	8
AeR97-1	Apramicina (Apra)	10	8
AeR97-1	Apramicina (Apra)	10	7
AeR97-1	Apramicina (Apra)	10	8
AeR97-1	Apramicina (Apra)	5	5.5
AeR97-1	Apramicina (Apra)	5	5
AeR97-1	Apramicina (Apra)	5	5.5
AeR97-1	Apramicina (Apra)	2.5	2
AeR97-1	Apramicina (Apra)	2.5	4
AeR97-1	Apramicina (Apra)	2.5	4.5
AeR97-1	Apramicina (Apra)	1.25	1.5
AeR97-1	Apramicina (Apra)	1.25	1
AeR97-1	Apramicina (Apra)	1.25	1.5
AeR97-1	Neomicina (Nm)	10	13
AeR97-1	Neomicina (Nm)	10	13
AeR97-1	Neomicina (Nm)	10	15
AeR97-1	Neomicina (Nm)	5	11
AeR97-1	Neomicina (Nm)	5	11.5
AeR97-1	Neomicina (Nm)	5	11.5
AeR97-1	Neomicina (Nm)	2.5	10
AeR97-1	Neomicina (Nm)	2.5	10.5
AeR97-1	Neomicina (Nm)	2.5	9.5
AeR97-1	Neomicina (Nm)	1.25	7
AeR97-1	Neomicina (Nm)	1.25	8.5
AeR97-1	Neomicina (Nm)	1.25	8
AeR97-1	Gentamicina (Gm)	10	16
AeR97-1	Gentamicina (Gm)	10	16.5
AeR97-1	Gentamicina (Gm)	10	15.5
AeR97-1	Gentamicina (Gm)	5	15
AeR97-1	Gentamicina (Gm)	5	15.5
AeR97-1	Gentamicina (Gm)	5	14.5
AeR97-1	Gentamicina (Gm)	2.5	14
AeR97-1	Gentamicina (Gm)	2.5	13
AeR97-1	Gentamicina (Gm)	2.5	14
AeR97-1	Gentamicina (Gm)	1.25	11
AeR97-1	Gentamicina (Gm)	1.25	12
AeR97-1	Gentamicina (Gm)	1.25	13
AeR97-1	Carbenicilina (Car)	10	10
AeR97-1	Carbenicilina (Car)	10	11
AeR97-1	Carbenicilina (Car)	10	11.5
AeR97-1	Carbenicilina (Car)	5	9.5
AeR97-1	Carbenicilina (Car)	5	9
AeR97-1	Carbenicilina (Car)	5	9
AeR97-1	Carbenicilina (Car)	2.5	7.5
AeR97-1	Carbenicilina (Car)	2.5	7
AeR97-1	Carbenicilina (Car)	2.5	7
AeR97-1	Carbenicilina (Car)	1.25	1.5
AeR97-1	Carbenicilina (Car)	1.25	4
AeR97-1	Carbenicilina (Car)	1.25	4
AeR97-1	Cloramfenicol (Cm)	10	20
AeR97-1	Cloramfenicol (Cm)	10	17.5
AeR97-1	Cloramfenicol (Cm)	10	21
AeR97-1	Cloramfenicol (Cm)	5	19
AeR97-1	Cloramfenicol (Cm)	5	14
AeR97-1	Cloramfenicol (Cm)	5	16
AeR97-1	Cloramfenicol (Cm)	2.5	18
AeR97-1	Cloramfenicol (Cm)	2.5	14.5
AeR97-1	Cloramfenicol (Cm)	2.5	16
AeR97-1	Cloramfenicol (Cm)	1.25	15
AeR97-1	Cloramfenicol (Cm)	1.25	12
AeR97-1	Cloramfenicol (Cm)	1.25	16
AL3A	Ampicilina (Amp)	10	16
AL3A	Ampicilina (Amp)	10	16
AL3A	Ampicilina (Amp)	10	20
AL3A	Ampicilina (Amp)	5	11
AL3A	Ampicilina (Amp)	5	13
AL3A	Ampicilina (Amp)	5	17
AL3A	Ampicilina (Amp)	2.5	11
AL3A	Ampicilina (Amp)	2.5	11
AL3A	Ampicilina (Amp)	2.5	12
AL3A	Ampicilina (Amp)	1.25	10
AL3A	Ampicilina (Amp)	1.25	10
AL3A	Ampicilina (Amp)	1.25	11
AL3A	Apramicina (Apra)	10	10
AL3A	Apramicina (Apra)	10	10.5
AL3A	Apramicina (Apra)	10	12
AL3A	Apramicina (Apra)	5	7
AL3A	Apramicina (Apra)	5	7.5
AL3A	Apramicina (Apra)	5	10
AL3A	Apramicina (Apra)	2.5	4
AL3A	Apramicina (Apra)	2.5	3.5
AL3A	Apramicina (Apra)	2.5	7
AL3A	Apramicina (Apra)	1.25	2
AL3A	Apramicina (Apra)	1.25	2
AL3A	Apramicina (Apra)	1.25	4
AL3A	Neomicina (Nm)	10	22
AL3A	Neomicina (Nm)	10	21
AL3A	Neomicina (Nm)	10	20
AL3A	Neomicina (Nm)	5	19
AL3A	Neomicina (Nm)	5	17
AL3A	Neomicina (Nm)	5	17
AL3A	Neomicina (Nm)	2.5	17
AL3A	Neomicina (Nm)	2.5	14
AL3A	Neomicina (Nm)	2.5	16
AL3A	Neomicina (Nm)	1.25	15
AL3A	Neomicina (Nm)	1.25	14
AL3A	Neomicina (Nm)	1.25	12
AL3A	Gentamicina (Gm)	10	20
AL3A	Gentamicina (Gm)	10	20
AL3A	Gentamicina (Gm)	10	23
AL3A	Gentamicina (Gm)	5	18
AL3A	Gentamicina (Gm)	5	20.5
AL3A	Gentamicina (Gm)	5	20
AL3A	Gentamicina (Gm)	2.5	15.5
AL3A	Gentamicina (Gm)	2.5	17
AL3A	Gentamicina (Gm)	2.5	18
AL3A	Gentamicina (Gm)	1.25	13
AL3A	Gentamicina (Gm)	1.25	15
AL3A	Gentamicina (Gm)	1.25	15
AL3A	Carbenicilina (Car)	10	16
AL3A	Carbenicilina (Car)	10	13
AL3A	Carbenicilina (Car)	10	15
AL3A	Carbenicilina (Car)	5	10
AL3A	Carbenicilina (Car)	5	11
AL3A	Carbenicilina (Car)	5	11
AL3A	Carbenicilina (Car)	2.5	8
AL3A	Carbenicilina (Car)	2.5	10
AL3A	Carbenicilina (Car)	2.5	9
AL3A	Carbenicilina (Car)	1.25	5
AL3A	Carbenicilina (Car)	1.25	5
AL3A	Carbenicilina (Car)	1.25	6
AL3A	Cloramfenicol (Cm)	10	NA
AL3A	Cloramfenicol (Cm)	10	NA
AL3A	Cloramfenicol (Cm)	10	NA
AL3A	Cloramfenicol (Cm)	5	NA
AL3A	Cloramfenicol (Cm)	5	NA
AL3A	Cloramfenicol (Cm)	5	NA
AL3A	Cloramfenicol (Cm)	2.5	NA
AL3A	Cloramfenicol (Cm)	2.5	NA
AL3A	Cloramfenicol (Cm)	2.5	NA
AL3A	Cloramfenicol (Cm)	1.25	NA
AL3A	Cloramfenicol (Cm)	1.25	NA
AL3A	Cloramfenicol (Cm)	1.25	NA
INP12A	Ampicilina (Amp)	10	15
INP12A	Ampicilina (Amp)	10	15.5
INP12A	Ampicilina (Amp)	10	16
INP12A	Ampicilina (Amp)	5	14
INP12A	Ampicilina (Amp)	5	11
INP12A	Ampicilina (Amp)	5	13
INP12A	Ampicilina (Amp)	2.5	12.5
INP12A	Ampicilina (Amp)	2.5	11.5
INP12A	Ampicilina (Amp)	2.5	12.5
INP12A	Ampicilina (Amp)	1.25	12
INP12A	Ampicilina (Amp)	1.25	9
INP12A	Ampicilina (Amp)	1.25	11.5
INP12A	Apramicina (Apra)	10	8
INP12A	Apramicina (Apra)	10	10
INP12A	Apramicina (Apra)	10	10.5
INP12A	Apramicina (Apra)	5	7.5
INP12A	Apramicina (Apra)	5	7
INP12A	Apramicina (Apra)	5	8
INP12A	Apramicina (Apra)	2.5	5
INP12A	Apramicina (Apra)	2.5	3.5
INP12A	Apramicina (Apra)	2.5	5
INP12A	Apramicina (Apra)	1.25	3
INP12A	Apramicina (Apra)	1.25	NA
INP12A	Apramicina (Apra)	1.25	1.5
INP12A	Neomicina (Nm)	10	15
INP12A	Neomicina (Nm)	10	15
INP12A	Neomicina (Nm)	10	14
INP12A	Neomicina (Nm)	5	13
INP12A	Neomicina (Nm)	5	13
INP12A	Neomicina (Nm)	5	13
INP12A	Neomicina (Nm)	2.5	12
INP12A	Neomicina (Nm)	2.5	12
INP12A	Neomicina (Nm)	2.5	12
INP12A	Neomicina (Nm)	1.25	11
INP12A	Neomicina (Nm)	1.25	10
INP12A	Neomicina (Nm)	1.25	10
INP12A	Gentamicina (Gm)	10	18
INP12A	Gentamicina (Gm)	10	17
INP12A	Gentamicina (Gm)	10	18
INP12A	Gentamicina (Gm)	5	15
INP12A	Gentamicina (Gm)	5	15
INP12A	Gentamicina (Gm)	5	16
INP12A	Gentamicina (Gm)	2.5	14
INP12A	Gentamicina (Gm)	2.5	12
INP12A	Gentamicina (Gm)	2.5	12
INP12A	Gentamicina (Gm)	1.25	13
